COD.PROD;PRODUCTO;TOTAL
10101;DURAZNO INCA                      X820GR;3276,36
20192;JABON TOC.PLUSBELLE CERAM.C/ACEITE-X140G;3275,37
21022;PROVENZAL LA CAMPIÐA -11311-      X500GR;3269,89
78033;JUGO INCA BC DURAZNO SOBRE          X30G;3264,16
11180;SALSA CICA PIZZA-206505-         X340GR;3254,67
4123;CAFE ARLISTAN SUAVE-93134-        X170GR;3253,26
90125;YOGUR YOGURIS.-957-CREMIX VAIN.  4X120GR;3237,59
11017;ARVEJA INCA                       X350GR;3237,52
9194;FIDEO LA PROVIDENCIA MOSTACHOL-   X500GR;3235,18
50074;TABLETA P/MOSQUITO X-5 -113017-   X20UN;3225,64
41359;ACOND.PLUSBELLE CREME C/AMINOB-     X1LT;3191,74
3010;POLENTA MAGICA-17190-             X500GR;3156,22
97264;PAN VIENA ALBERTUS MERCOFRUT -      X6UN;3150,93
1309;GALLETA LIA POLVORITA FRUTILL.-2881-X80G;3149,37
50079;ESPIRAL RAID - 407-                X12UN;3147,98
11140;PURE TOMATE CANALE T/BRIK -       X260GR;3131,58
28022;MERMELADA DULCOR DURAZNO POTE    -X500GR;3128,14
3014;POLENTA JOSE LOPEZ                X500GR;3119,33
50020;INSECTICIDA X-5 MATA CUCAR.Y HORM.X360CC;3094,92
90419;POSTRE DANONINO-094-MAXI-VAIN.    2X70GR;3092,41
3084;POLENTA LA ESPAÐOLA               X500GR;3090,99
7600;JUGO GATORADE NARANJA  -1103-     X473CC;3082,68
17597;PROTECTOR LADYSOFT CLASICO-9657-   X20UN;3069,55
1068;GALLETA TRIO PEPAS       -0106-   X500GR;3041,10
41162;SHAMPOO SEDAL SOS CERAMIDAS       X200ML;3040,34
97185;PREPIZZA DON FRANCISCO -            X3UN;3035,94
93393;MORTADELA ESPECIAL EL BIERZO -531-   XKG;3035,77
53009;ALIMENTO P/PERRO CAPITAN MIX       X15KG;3025,13
95102;RAVIOLES VIA VESPUCCI POLLO -     X500GR;3014,61
7414;VINO SANTA ANA SELECCION TTO-50221-X700C;3009,66
7250;SIDRA DEL VALLE                   X710CC;3002,32
13404;SUAVIZANTE BORITA PERF.VIOLETA    X900CC;2997,73
17272;TOALLA LADYSOFT ULTR.U.SUAV.C/ALAS  X8UN;2996,38
13351;DETERGENTE ALA FRUTAS CIT.-236013-X750CC;2991,14
17395;PAÐAL BABYSEC ULT.TRI/XGDE         X24UN;2954,68
24005;HARINA BONANZA LEUDANTE -           X1KG;2942,89
18311;VELAS VICTORIA -128-               X68GR;2942,44
9758;FIDEO LUCCHETTI FETUCCINE-30901-  X500GR;2934,24
91088;QUESO SARDO WINDY -                  XKG;2929,88
9309;ARROZ PELEADOR BLUE BONET-        X500GR;2929,33
95120;RAVIOLES LA REYNA POLLO-VERDURA -  X96UN;2926,16
20089;JABON PAN ARGENTINO BLANCO  -311- X200GR;2916,61
25018;MAYONESA HELLMANNS DOY PACK -    5X500GR;2913,37
14002;POMADA COBRA NEGRA                 X32GR;2912,79
25126;mostaza savora-207053-aniv.dp.    x500gr;2910,16
1308;GALLETA LIA POLVORITA CHOCOL.-2884-X80GR;2908,11
90479;MANTECA NOAL PAN -015-            X100GR;2888,72
31750;CREMA DENTAL ODOL 2 DOB.FLUOR-13004-X70G;2865,59
32054;LECHE POLVO NIDO CRECIMIENTO 3 LAT-X800G;2851,36
97177;PAN VIENA DON FRANCISCO-            X6UN;2843,12
77994;VINO TERMIDOR BCO T.B X1LT+TERM.ROS.X1LT;2842,87
41082;ACOND.SEDAL SOS CERAMIDA-228875-   X10ML;2819,79
17578;PAÐAL BABYSEC CLAS.TANGA MP GDE -  X20UN;2819,06
9315;ARROZ 53 BLUE BONET -              5X1KG;2812,03
1310;GALLETA LIA POLVORITA VAINIL-2880- X80GR;2771,98
41483;SHAMPOO PLUSBELLE CREME C/AMINOB-   X1LT;2768,20
32066;LECHE POLVO LA LECHERA N/BALANC.- X800GR;2767,85
18220;LAMPARA OSRAM HALOGENA CLAS.A 42W  XUN;2763,61
28031;DULCE LECHE FRANZ -1010002-       X250GR;2762,14
9189;FIDEO LA PROVIDENCIA TALLARIN-    X500GR;2751,36
17263;PAPEL HIG.CAMPANITA CLASSIC 60M-064-X6UN;2742,71
97266;PAN HAMBURGUESA ALBERTUS MERCOFRUT- X4UN;2732,31
13164;DESINFECT.LYSOFORM AIRE MONT.     X360CC;2725,53
9024;ARROZ SUSARELLI LARGO FINO-93243-   X1KG;2713,20
41488;SHAMPOO PLUSBELLE MAN/PERA C/AMINOB-X1LT;2709,48
13373;LUSTRAMUEBLE BLEM NARANJA   -244- X360CC;2700,63
41113;ACOND.SEDAL SOS BALANCE-228893-    X10ML;2695,80
20164;JABON POLVO ACE NAT.AL/MAN.BE-9312- X3KG;2695,24
